update,timesteps,mean_ep_return,mean_ep_length,num_episodes,eval_mean_return,loss,pg_loss,v_loss,entropy
1,2048,177.34933333333333,627.3333333333334,3,nan,16.9464168548584,-0.006854427047073841,33.93450164794922,1.3980153799057007
2,4096,192.32799999999997,639.6666666666666,3,nan,18.702829360961914,-0.008018875494599342,37.4504508972168,1.4377888441085815
3,6144,222.5675,670.3333333333334,3,nan,22.825157165527344,-0.018340539187192917,45.71843719482422,1.5721403360366821
4,8192,156.2976666666667,605.0,3,nan,15.79955768585205,-0.025422297418117523,31.673419952392578,1.1729731559753418
5,10240,175.92199999999994,624.6666666666666,3,nan,16.760032653808594,-0.006977941375225782,33.558616638183594,1.229764461517334
6,12288,183.9333333333333,629.0,3,nan,16.08094024658203,-0.025009503588080406,32.23410415649414,1.1101903915405273
7,14336,185.50550000000007,626.6666666666666,3,nan,17.858474731445312,-0.011862358078360558,35.765586853027344,1.2455692291259766
8,16384,168.25300000000004,615.3333333333334,3,nan,14.660761833190918,-0.014971362426877022,29.37428855895996,1.1411139965057373
9,18432,193.04216666666662,632.3333333333334,3,nan,18.020790100097656,-0.0127619169652462,36.09169006347656,1.2292640209197998
10,20480,189.18450000000007,635.0,3,nan,17.2329158782959,-0.015071656554937363,34.521446228027344,1.2734978199005127
11,22528,178.62766666666667,629.0,3,nan,18.8221435546875,-0.01702905260026455,37.70467758178711,1.3166583776474
12,24576,184.0175,631.0,3,nan,16.642921447753906,0.0017842017114162445,33.30644989013672,1.2087807655334473
13,26624,183.18016666666668,626.3333333333334,3,nan,17.297115325927734,-0.010769274085760117,34.64237594604492,1.330294132232666
14,28672,192.5781666666666,629.3333333333334,3,nan,17.60520362854004,-0.025603679940104485,35.28712463378906,1.2755869626998901
15,30720,200.23833333333343,648.3333333333334,3,nan,15.486150741577148,-0.01069113053381443,31.016071319580078,1.1193898916244507
16,32768,192.76716666666655,635.6666666666666,3,nan,20.614145278930664,-0.01140598114579916,41.28094482421875,1.4921139478683472
17,34816,172.17583333333337,620.6666666666666,3,nan,14.160930633544922,-0.01915125548839569,28.382965087890625,1.1400341987609863
18,36864,194.36333333333334,633.0,3,nan,19.85637855529785,-0.019175566732883453,39.77919006347656,1.4041454792022705
19,38912,279.10949999999997,724.0,2,nan,22.774139404296875,-0.00786499585956335,45.59284591674805,1.4417693614959717
20,40960,244.3948333333333,676.3333333333334,3,nan,22.44071388244629,-0.006900165230035782,44.923545837402344,1.4158036708831787
21,43008,213.97966666666662,659.0,3,nan,19.8073673248291,-0.021907158195972443,39.68332290649414,1.238786220550537
22,45056,245.1137500000001,680.5,2,nan,21.621856689453125,-0.005455784499645233,43.28229522705078,1.3835139274597168
23,47104,206.957,652.3333333333334,3,nan,21.534399032592773,0.004403207451105118,43.08673095703125,1.337019920349121
24,49152,185.71566666666664,633.0,3,nan,16.963563919067383,-0.01367175206542015,33.9777717590332,1.1649963855743408
25,51200,207.9518333333333,655.6666666666666,3,194.58600000000004,19.297706604003906,-0.018306344747543335,38.6593132019043,1.3643449544906616
26,53248,186.7463333333333,628.3333333333334,3,nan,18.512222290039062,-0.017563413828611374,37.082603454589844,1.151640772819519
27,55296,175.38016666666672,623.0,3,nan,17.45438003540039,-0.011381302028894424,34.95573043823242,1.210361123085022
28,57344,185.9125,634.0,3,nan,16.959850311279297,0.007239226251840591,33.9283561706543,1.1567909717559814
29,59392,223.13633333333337,668.6666666666666,3,nan,21.651561737060547,-0.014943348243832588,43.359352111816406,1.317071557044983
30,61440,180.97916666666666,618.0,3,nan,17.078603744506836,-0.01423904299736023,34.20771026611328,1.101321816444397
31,63488,221.3268333333333,667.3333333333334,3,nan,19.628475189208984,-0.0069897957146167755,39.29556655883789,1.2317876815795898
32,65536,215.66016666666664,657.6666666666666,3,nan,19.067182540893555,-0.015761300921440125,38.18955993652344,1.1837034225463867
33,67584,221.1835,668.0,3,nan,22.777036666870117,-0.015352558344602585,45.61216354370117,1.3692176342010498
34,69632,177.64333333333323,624.0,3,nan,16.979110717773438,-0.007516771554946899,33.99464416503906,1.0694811344146729
35,71680,211.83749999999998,658.0,3,nan,20.983200073242188,-0.01370999589562416,42.01929473876953,1.2738037109375
36,73728,196.9366666666666,645.3333333333334,3,nan,18.735511779785156,-0.0235795546323061,37.541229248046875,1.1522767543792725
37,75776,200.72733333333335,647.6666666666666,3,nan,20.53639793395996,-0.002163652330636978,41.102752685546875,1.2814432382583618
38,77824,223.27066666666667,662.6666666666666,3,nan,21.665119171142578,0.003261219710111618,43.35027313232422,1.3277678489685059
39,79872,235.46383333333338,675.3333333333334,3,nan,23.81751823425293,-0.013757534325122833,47.68922424316406,1.3335576057434082
40,81920,222.88249999999994,666.6666666666666,3,nan,19.568174362182617,-0.021298792213201523,39.20255661010742,1.1804934740066528
41,83968,180.7826666666667,623.3333333333334,3,nan,15.22127628326416,-0.014383340254426003,30.49013328552246,0.940708339214325
42,86016,259.51,704.5,2,nan,22.685527801513672,-0.009451054036617279,45.415504455566406,1.2773146629333496
